Time [s],Terminal voltage [V],Current [A]
0.0,4.106575142034526,2.0
0.01804761197051302,4.106532175368077,2.0
0.03609522394102604,4.106489273752727,2.0
0.07219044788205208,4.1064036175557685,2.0
0.14438089576410415,4.10623301082167,2.0
0.2887617915282083,4.105894046899135,2.0
0.5775235830564166,4.105230918183455,2.0
0.8662853745846248,4.104580011909379,2.0
1.1550471661128332,4.103941226674948,2.0
1.7325707491692497,4.102692302429007,2.0
2.3100943322256664,4.101486876188366,2.0
3.4651414983384994,4.099207136291635,2.0
4.620188664451333,4.097088442314708,2.0
5.775235830564166,4.0951146809070105,2.0
6.930282996677,4.0932700124838455,2.0
9.240377328902666,4.089917030460529,2.0
11.550471661128332,4.086930832259888,2.0
13.860565993354,4.084233059329048,2.0
16.170660325579664,4.081768815262427,2.0
18.48075465780533,4.079505519819689,2.0
20.790848990030998,4.077413783472137,2.0
23.100943322256665,4.075475173619914,2.0
25.41103765448233,4.073661115624354,2.0
27.721131986708,4.071959035547187,2.0
30.031226318933665,4.070347045760318,2.0
32.34132065115933,4.068837632854939,2.0
34.651414983384996,4.067396276124503,2.0
36.96150931561066,4.066025926950447,2.0
39.27160364783633,4.064724142859771,2.0
43.89179231228766,4.062290865235809,2.0
48.511980976739,4.060060883031884,2.0
53.13216964119033,4.0580064051066,2.0
57.752358305641664,4.05610459851393,2.0
66.99273563454433,4.052692755320713,2.0
76.233112963447,4.049703430773229,2.0
85.47349029234967,4.047046716052164,2.0
94.71386762125233,4.044664421064235,2.0
103.954244950155,4.0425185910961865,2.0
113.19462227905767,4.040579479294868,2.0
122.43499960796034,4.03882343329117,2.0
131.675376936863,4.037222776322826,2.0
140.91575426576566,4.035764742497943,2.0
150.15613159466832,4.0344238689309915,2.0
159.396508923571,4.0332026065335524,2.0
168.63688625247366,4.032065889517807,2.0
177.87726358137633,4.031038826910157,2.0
187.117640910279,4.030097263727347,2.0
196.35801823918166,4.029229238841394,2.0
214.838772896987,4.027701114086124,2.0
233.31952755479233,4.026414738798094,2.0
251.80028221259766,4.025332295686806,2.0
270.281036870403,4.024420789540417,2.0
307.24254618601367,4.0229950355905215,2.0
344.20405550162434,4.021940195242841,2.0
381.165564817235,4.021081354431284,2.0
418.1270741328457,4.020332584503615,2.0
455.08858344845635,4.019546551827252,2.0
492.050092764067,4.018732125313436,2.0
529.0116020796777,4.017827444104645,2.0
565.9731113952884,4.016758072260852,2.0
602.934620710899,4.015499149391328,2.0
639.8961300265097,4.014022016348639,2.0
713.819148657731,4.010346758374782,2.0
787.7421672889524,4.005693870562583,2.0
861.6651859201737,4.00010911915245,2.0
935.588204551395,3.9937137421975266,2.0
1009.5112231826164,3.9866563317159955,2.0
1083.4342418138376,3.979097299262568,2.0
1157.357260445059,3.9711902502081147,2.0
1231.2802790762803,3.9630729815699524,2.0
1305.2032977075016,3.9548657958694067,2.0
1379.126316338723,3.946663929096993,2.0
1453.0493349699443,3.938547967095686,2.0
1526.9723536011657,3.9305675232552737,2.0
1600.895372232387,3.9227681499786806,2.0
1674.8183908636083,3.9151747311341643,2.0
1748.7414094948297,3.9077877951420126,2.0
1896.5874467572723,3.8936376443629426,2.0
2044.433484019715,3.880195363901274,2.0
2134.996936697884,3.872205749663377,2.0
2225.560389376053,3.8642785559240087,2.0
2306.5044435392724,3.857143094468452,2.0
2377.6793266438503,3.850754755739236,2.0
2441.7367214379706,3.8448394987057797,2.0
2499.3883767526786,3.8393275093732773,2.0
2557.0400320673866,3.8335942265656855,2.0
2614.6916873820946,3.82758438180835,2.0
2672.3433426968027,3.821247487071391,2.0
2787.6466533262187,3.8074134399613175,2.0
2860.32950659611,3.7978222340309795,2.0
2933.0123598660016,3.7875719412028137,2.0
2998.426927808904,3.7779063104591497,2.0
3057.3000389575163,3.7690257437277803,2.0
3116.1731501061286,3.7601359327810284,2.0
3175.046261254741,3.751383144635108,2.0
3233.919372403353,3.7428597174826512,2.0
3292.7924835519652,3.734602395218511,2.0
3351.6655947005775,3.7266058277569827,2.0
3410.5387058491897,3.71884068315989,2.0
3469.411816997802,3.7112757513307884,2.0
3528.284928146414,3.7038837572173793,2.0
3587.1580392950264,3.6966454011795595,2.0
3600.0,3.6950864200997113,2.0
